clusterid,startdate,tweetcount,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
11,2016-02-26 16:47:42,33,0.704868686868687,1.6603997113997118,0.10157575757575758,0.38101587301587303,2.5292741702741703,0.7082323232323233,1.0602886002886,3.271960317460317
12,2016-03-06 21:16:43,23,1.1039254658385094,1.0719875776397516,0.23177536231884055,1.1648902691511385,0.7229565217391304,0.5453002070393375,0.12756521739130436,2.9868364389233952
13,2016-03-14 21:54:14,11,0.767909090909091,1.980787878787879,0.0,0.7971818181818182,0.9472727272727274,0.4318181818181818,0.2009090909090909,4.240787878787878
14,2016-03-17 22:05:16,11,0.7284025974025975,3.1283030303030306,0.0,0.07012987012987014,1.681,1.0646363636363636,0.8185757575757576,4.074242424242424
15,2016-03-23 16:19:56,14,1.4230357142857142,1.4528809523809525,0.25999999999999995,0.9758928571428571,1.3857738095238097,0.7432142857142857,0.4274404761904762,2.8778690476190474
16,2016-03-25 21:40:06,18,0.8358888888888889,2.0462645502645502,0.0,0.28059126984126986,2.5574232804232806,1.2448148148148148,1.1927619047619045,3.5064695767195766
17,2016-03-31 22:41:16,24,0.5837847222222222,0.6618675595238096,0.07916666666666665,0.5108680555555556,0.8020644841269843,0.4887361111111111,0.813343253968254,4.061566964285714
18,2016-04-07 20:33:37,19,0.8090350877192982,0.8520614035087718,0.023486842105263157,0.3545614035087719,1.1370394736842104,0.481578947368421,0.5676315789473684,4.62027380952381
19,2016-04-13 20:53:59,18,0.8477083333333334,1.5891481481481482,0.39597222222222217,1.3412592592592594,1.1124999999999998,1.033662037037037,1.1300277777777779,2.409388888888889
20,2016-04-21 20:07:29,22,0.7666652236652234,1.1431071428571429,0.476198051948052,1.3960440115440116,1.1806174242424243,0.18406926406926408,0.7161489898989898,3.4578977272727274
21,2016-04-27 20:09:45,16,0.49890625,1.5976666666666668,0.39625,0.26958333333333334,1.0038020833333332,0.0,0.22515625,4.14765625
22,2016-05-02 20:08:48,10,0.441,0.3735,0.0,0.7327777777777778,1.2578888888888888,0.13777777777777778,1.2578888888888888,5.214205555555555
23,2016-05-05 16:13:39,39,0.6813846153846153,1.5748461538461536,0.04666666666666667,0.8993653846153845,1.0941959706959707,0.21724358974358976,0.49261599511599524,3.479727716727718
24,2016-05-18 22:03:43,22,0.6545454545454545,1.2869469696969698,0.0,0.7545606060606059,0.9466717171717172,0.5075757575757577,0.3479090909090909,3.138955808080808
25,2016-05-26 15:50:52,19,0.38070175438596493,1.180061403508772,0.19157894736842107,0.9855438596491227,1.5662280701754385,1.218078947368421,1.1457017543859649,3.3580350877192986
26,2016-06-01 22:04:31,13,1.7669294871794874,0.9071794871794872,0.6841217948717949,2.253852564102564,0.0,1.5784679487179487,0.5110256410256411,1.113724358974359
27,2016-06-04 15:41:59,11,0.7114545454545455,1.9460757575757577,0.19145454545454543,0.7810909090909092,1.8126666666666666,0.2210909090909091,0.9918181818181818,2.6678333333333337
28,2016-06-12 17:17:19,16,0.771875,0.9414843749999999,0.0,1.2302395833333333,2.0302604166666667,0.28390625,1.2049999999999998,3.2725937499999995
29,2016-06-22 18:39:17,14,1.4212500000000001,1.7541173469387754,1.0035119047619048,1.4143452380952382,0.28089285714285717,0.7702380952380953,0.15785714285714286,1.929484693877551
30,2016-06-25 21:20:57,32,0.9959635416666667,1.301010044642857,0.5293619791666667,1.0805833333333332,2.2939408482142856,0.8390052083333334,0.09323437500000001,2.4907528521825393
31,2016-07-04 16:01:21,19,0.8566240601503758,1.2300075187969925,0.0,0.7835319548872179,1.0638596491228072,0.40736842105263155,0.3056140350877193,3.168068295739348
32,2016-07-21 20:50:14,11,1.045530303030303,1.0842640692640693,0.9198484848484849,0.4003030303030303,0.7208116883116883,0.15772727272727274,0.1725,3.2583549783549786
33,2016-07-26 15:13:16,30,0.8613714285714286,1.6412411255411254,0.1408333333333333,1.5854805916305919,1.616206782106782,1.234809163059163,0.40673809523809523,2.832580591630592
34,2016-08-03 20:06:31,27,0.22543209876543208,2.864882716049383,0.0,0.611037037037037,2.327962962962962,0.02548148148148148,0.7182345679012345,2.9200873015873015
35,2016-08-11 15:56:30,19,1.5210538847117794,1.7288809523809525,0.08723684210526315,1.60134335839599,1.1248922305764413,0.9625877192982456,0.4697543859649123,2.7450288220551373
36,2016-08-17 15:39:20,23,1.443927536231884,1.7218985507246378,0.676,1.3565797101449275,0.8670869565217392,0.9375942028985508,0.2817246376811594,2.169340579710145
