word	valence	arousal	dominance
bulge	3.46	4.82	4.32
bullet	3.29	5.33	3.90
bumble	4.83	5.03	4.76
bunny	7.24	4.06	4.97
burdened	2.50	5.63	5.03
burglar	2.52	6.62	3.41
burial	2.05	5.08	3.55
burn	2.73	6.22	4.22
bury	3.68	5.68	4.16
bus	4.51	3.55	4.84
bustle	5.43	5.80	4.93
busy	4.19	4.58	4.69
busybody	5.17	4.84	5.45
butler	5.93	4.70	5.48
butt	6.47	5.70	5.97
butter	5.33	3.17	4.67
butterfly	7.17	3.47	4.65
button	5.21	3.82	5.68
cab	4.53	3.97	4.27
cabinet	5.05	3.43	4.73
cake	7.26	5.00	5.16
calender	5.42	3.84	4.95
calf	5.39	4.11	6.05
calm	6.73	3.60	6.37
camel	5.62	4.34	5.09
campus	6.07	4.79	5.03
cancel	3.46	4.31	4.08
cancer	1.50	6.42	3.42
candlestick	5.43	4.27	5.00
candy	6.54	4.58	5.33
cane	4.00	4.20	4.27
cannon	4.90	4.71	5.17
canoe	6.29	4.79	5.86
canyon	5.76	5.29	3.79
capability	7.00	5.43	6.36
capable	7.16	5.08	6.47
cape	6.33	5.03	6.07
car	7.73	6.24	6.98
carcass	3.34	4.83	4.90
card	5.61	4.43	5.57
care	7.53	6.03	6.37
carefree	7.54	4.17	5.78
caress	7.84	5.14	5.83
caring	6.84	4.38	5.78
carnival	6.77	6.20	5.60
carpet	5.17	3.66	5.14
carrot	5.43	3.90	5.89
cartoon	6.94	5.52	5.77
carve	5.08	4.72	4.88
carwash	6.00	4.67	5.43
cash	8.37	7.37	6.96
casino	6.81	6.51	5.12
cast	4.46	4.50	5.08
castle	7.43	6.13	6.43
castrate	2.16	5.75	2.75
cat	5.72	4.38	6.16
cattle	5.50	4.20	5.57
cave	4.78	5.44	4.44
cavern	5.62	5.28	5.28
cavity	2.59	6.14	3.50
cavort	5.10	4.86	4.97
cease	4.48	4.25	4.64
ceiling	5.45	4.04	5.18
cell	3.82	4.08	4.12
cellar	4.32	4.39	4.66
cemetery	2.63	4.82	4.27
cereal	7.35	5.08	6.28
chair	5.08	3.15	4.56
chalk	4.89	3.48	4.70
challenge	6.43	6.43	6.07
champ	7.18	6.00	6.77
champagne	7.00	5.93	5.43
champion	8.44	5.85	6.50
chance	6.02	5.38	4.64
change	5.24	5.25	4.79
chaos	4.17	6.67	3.86
character	5.87	5.17	5.77
charm	6.77	5.16	5.57
chase	5.07	6.50	4.64
checkerboard	5.80	4.21	5.07
cheer	8.10	6.12	6.00
cheerful	8.10	6.36	6.79
cheerleader	6.48	5.67	5.81
cheese	6.33	5.20	4.97
cheeseburger	7.61	6.00	6.46
chef	7.26	5.67	6.33
chess	5.48	4.07	5.00
chest	6.26	5.44	5.44
chicken	6.87	5.10	5.83
child	7.08	5.55	5.10
chimney	5.72	3.46	5.12
chin	5.29	3.31	5.26
chocolate	6.88	5.29	5.18
choice	6.94	5.23	7.33
choir	6.41	4.50	5.50
choke	2.38	6.34	2.91
chore	2.74	3.52	3.26
christmas	7.80	6.27	5.37
church	6.28	4.34	5.00
cider	6.03	4.10	5.48
cigar	4.61	4.14	5.18
